"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","생대추 수량_ha당","건대추_찍초 수량_ha당","건대추_소계 수량_ha당","총 생산량(건대추 기준)_ha당","생대추 평가액_ha당","건대추_소계 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","골목 눕히기_시간_ha당","골목 뒤집기_시간_ha당","골목 벌채_시간_ha당","골목 세우기_시간_ha당","골목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","가중치"
3,0,0,0,0,0,0,210670,0,0,0,0,99,1,423960,6,0.23,0,0.23,0,0,0.23,0,0.23,0,0,0,0,0,0,0,0.12,0,0.12,0,0,0.12,0,0.12,0,0,0,0,0,0,0,23.6,2,583.333333333333,1755583.33333333,0,1755583.33333333,0,0,0,0,0,0,1755583.33333333,0,0,0,0,2705833.33333333,848333.333333333,0,0,0,0,0,0,1076625,167684.210526316,1244309.21052632,2835000,4825000,0,4825000,16132808.3333333,0,0,16132808.3333333,9813019.21052632,624761.91,265887.723333333,890649.633333333,21848457.9666667,11644480.7894737,25945827.5438596,5715649.63333333,31661477.177193,-10203977.177193,21457500,408.333333333333,16.6666666666667,1141.66666666667,1296.83333333333,4083333.33333333,17374166.6666667,0,0,0,0,0,0,0,0,8483.33333333333,0,0,0,0,8483.33333333333,891.666666666667,591.666666666667,300,0,0,0,83.3333333333333,0,975,0,16.6666666666667,0,0,0,0,0,200,0,283.333333333333,141.666666666667,41.6666666666667,0,0,0,0,0,100,0,0,141.666666666667,0,0,0,16.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3684210526316
3,0,0,0,0,0,0,243940,0,0,0,0,99,1,423960,6,0.3,0.3,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,9,2,800,2439400,0,2439400,0,0,0,0,0,0,2439400,0,0,0,0,117000,383000,0,0,0,0,0,0,629500,35828.9473684211,665328.947368421,0,3370000,0,3370000,10168270,0,0,10168270,4028688.94736842,101002.323684211,162535.108,263537.43168421,13801807.4316842,11461311.0526316,14196958.9473684,3633537.43168421,17830496.3790526,-2340496.37905263,15490000,930,0,700,1053.4,7440000,8050000,0,0,0,0,0,0,0,0,10180,0,0,0,0,10180,530,530,0,0,0,0,50,0,580,0,10,0,0,0,0,0,10,0,0,320,40,0,0,0,0,0,160,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3684210526316
3,0,0,0,0,0,0,55440,0,0,0,234320,37,1,415002,6,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,30,2,1028.57142857143,1379809.52380952,0,1379809.52380952,0,0,0,0,0,0,264000,0,0,0,1115809.52380952,952857.142857143,174285.714285714,0,218571.428571429,16480000,0,0,0,6935000,162406.015037594,7097406.01503759,0,2980952.38095238,0,2980952.38095238,12403352.3809524,0,0,12403352.3809524,26717931.8245614,780066.594937343,391950.064761905,1172016.65969925,16556321.421604,-23291741.3483709,39121284.2055138,4152969.04065163,43274253.2461654,-39848062.7699749,3426190.47619048,209.523809523809,109.52380952381,242.857142857143,322.47619047619,2074285.71428571,1351904.76190476,0,0,0,0,0,0,0,0,1209.52380952381,0,0,0,509.523809523809,1719.04761904762,695.238095238095,600,95.2380952380952,0,0,0,28.5714285714286,0,723.809523809524,0,0,0,14.2857142857143,0,0,0,14.2857142857143,0,0,209.523809523809,19.047619047619,0,0,423.809523809524,0,0,0,0,0,42.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6315789473684
3,0,0,0,0,0,0,659740,0,0,0,0,99,3,423960,6,0.62,0.62,0,0,0,0.62,0.62,0,0,0,0,0,0,0,0,0.62,0.62,0,0,0,0.62,0.62,0,0,0,0,0,0,0,0,8,2,1290.32258064516,1064096.77419355,0,1064096.77419355,0,0,0,0,0,0,1064096.77419355,0,0,0,0,78387.0967741935,64193.5483870968,0,0,2903.22580645161,0,0,55322.5806451613,244790.322580645,55741.935483871,300532.258064516,958064.516129032,2409677.41935484,0,2409677.41935484,3674761.29032258,0,0,3674761.29032258,2947460,226886.64,61251.84,288138.48,6372577.18967742,-1620685.80645161,6622221.29032258,2697815.89935484,9320037.18967742,-7993262.99612903,1326774.19354839,120.967741935484,0,0,45.9677419354839,1326774.19354839,0,0,0,0,0,0,0,0,0,5580.64516129032,0,0,0,0,5580.64516129032,137.096774193548,137.096774193548,0,0,0,0,66.1290322580645,0,203.225806451613,0,0,0,12.9032258064516,0,0,0,6.45161290322581,0,3.2258064516129,29.0322580645161,20.9677419354839,0,0,0,0,0,25.8064516129032,0,0,103.225806451613,0,0,0,0,1.61290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84615384615385
3,0,0,0,0,0,0,970200,0,0,0,0,38,3,389606,6,0.84,0.84,0,0,0,0,0,0,0,0,0.84,0.84,0,0,0,0.84,0.84,0,0,0,0,0,0,0,0,0.84,0.84,0,0,0,19,2,714.285714285714,1155000,0,1155000,0,0,0,0,0,0,1155000,0,0,0,0,1366547.61904762,1309761.9047619,123809.523809524,0,82380.9523809524,162261.904761905,0,0,464253.472222222,11314.2857142857,475567.757936508,0,0,2501190.47619048,2501190.47619048,9498182.14285714,304761.904761905,57142.8571428571,9860086.9047619,7872664.54731151,59609.5615833333,174342.125238095,233951.686821429,9787500.18316071,38319597.3574504,14925022.5674603,2735142.1630119,17660164.7304722,28532097.1742897,46192261.9047619,222.619047619048,228.571428571429,3738.09523809524,3822.69047619048,1714166.66666667,44478095.2380952,0,0,0,0,0,0,0,0,6057.14285714286,0,0,0,0,6057.14285714286,409.523809523809,313.095238095238,96.4285714285714,30.9523809523809,0,30.9523809523809,136.904761904762,0,577.380952380952,0,19.047619047619,0,0,0,0,0,69.047619047619,0,103.571428571429,146.428571428571,40.4761904761905,0,0,115.47619047619,0,0,22.6190476190476,0,0,53.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714,9.66666666666667
3,0,0,0,0,0,129180,0,0,0,0,0,37,1,415002,6,0.16,0.16,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,24,2,593.75,807375,807375,0,0,0,0,0,0,807375,0,0,0,0,0,2048125,324375,0,0,0,0,0,0,1154789.0625,71052.6315789474,1225841.69407895,0,3012500,0,3012500,32593225,602062.5,0,33195287.5,5422781.19407895,160823.407105263,451052.015,611875.422105263,36217600.4221053,23626593.8059211,38016006.1940789,3624375.42210526,41640381.6161842,-12591006.6161842,29049375,0,281.25,4525,4525,0,29049375,0,0,0,0,0,0,43.75,43.75,0,0,0,0,0,0,1800,1250,550,37.5,18.75,18.75,193.75,0,2031.25,0,37.5,0,0,0,0,0,93.75,0,93.75,456.25,0,0,0,387.5,0,0,662.5,0,0,293.75,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6315789473684
3,0,0,0,0,0,131810,0,0,0,0,0,37,2,415002,6,0.51,0,0.24,0,0.27,0.51,0,0.24,0,0.27,0,0,0,0,0,0.44,0,0.22,0,0.22,0.44,0,0.22,0,0.22,0,0,0,0,0,27,2,2284.09090909091,299568.181818182,299568.181818182,0,0,0,0,0,0,299568.181818182,0,0,0,0,0,1782272.72727273,485681.818181818,0,0,0,0,0,1473863.63636364,815873.106060606,20251.1961722488,836124.302232855,85890.1515151515,3940909.09090909,0,3940909.09090909,23351906.8181818,469840.909090909,0,23821747.7272727,5848243.72647528,56749.9863476874,345502.862727273,402252.84907496,27695068.7581659,13918574.4553429,29200150.5446571,4343161.93998405,33543312.4846411,-13776494.302823,19766818.1818182,0,115.909090909091,2847.72727272727,2847.72727272727,0,19766818.1818182,0,0,0,0,0,0,929.545454545454,929.545454545454,0,0,0,0,0,0,1452.27272727273,897.727272727273,554.545454545455,29.5454545454545,13.6363636363636,15.9090909090909,18.1818181818182,0,1500,0,38.6363636363636,0,0,0,0,0,109.090909090909,0,100,363.636363636364,22.7272727272727,0,0,0,0,0,568.181818181818,0,0,281.818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9090909090909,31.4
3,0,0,0,0,0,140600,0,0,455400,0,1121220,33,3,434170,6,0.87,0,0.87,0,0,0.87,0,0.87,0,0,0,0,0,0,0,0.87,0,0.87,0,0,0.87,0,0.87,0,0,0,0,0,0,0,15.6,2,1310.34482758621,1973816.09195402,161609.195402299,1812206.89655172,0,0,0,0,0,161609.195402299,0,0,523448.275862069,0,1288758.62068966,1264367.81609195,172068.965517241,0,0,0,0,0,0,489360.153256705,4483367.81609195,4972727.96934866,82011.4942528736,2104597.70114943,0,2104597.70114943,8500357.47126437,0,0,8500357.47126437,8899162.33716475,610849.275095786,147691.568275862,758540.843371648,11363496.0157854,24983481.3409962,17399519.8084291,2863138.54452107,20262658.3529502,13619985.3252107,33882643.6781609,2558.62068965517,12.6436781609195,986.206896551724,1958.48275862069,20468965.5172414,13413678.1609195,0,0,0,0,0,0,4.59770114942529,4.59770114942529,0,0,18889.6551724138,0,2697.70114942529,21587.3563218391,473.563218390805,316.091954022988,157.471264367816,0,0,0,51.7241379310345,0,525.287356321839,0,9.19540229885057,0,5.74712643678161,0,0,0,32.183908045977,0,13.7931034482759,82.7586206896552,67.816091954023,0,0,87.3563218390805,0,0,187.35632183908,0,0,39.0804597701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6875
3,0,0,0,0,0,153770,0,0,853880,0,0,33,3,434170,5,0.57,0,0.57,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0.57,0,0,0,0,0,0,0,15.5,1,1315.78947368421,1767807.01754386,269771.929824561,1498035.0877193,0,0,0,0,0,269771.929824561,0,0,1498035.0877193,0,0,2027543.85964912,868421.052631579,0,0,0,0,0,0,2267390.35087719,1187210.52631579,3454600.87719298,378947.368421053,2368421.05263158,0,2368421.05263158,7432396.49122807,3045614.03508772,26315.7894736842,10504326.3157895,11984753.3475036,116879.680701754,188084.418245614,304964.098947368,10124448.2953034,42231036.1261806,19435816.4912281,2673385.15157895,22109201.642807,32106587.8308772,54215789.4736842,6089.47368421053,19.2982456140351,563.157894736842,2877.15789473684,48715789.4736842,5500000,0,0,0,0,0,0,8.7719298245614,8.7719298245614,0,0,43247.3684210526,0,0,43247.3684210526,357.894736842105,357.894736842105,0,149.122807017544,138.59649122807,10.5263157894737,59.6491228070175,0,566.666666666667,0,3.50877192982456,0,7.01754385964912,0,0,0,40.3508771929825,0,21.0526315789474,163.157894736842,59.6491228070175,0,0,66.6666666666667,0,0,180.701754385965,0,0,24.5614035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6875
3,0,0,0,0,0,158170,0,0,0,0,2140510,33,4,434170,6,1.2,0,1.2,0,0,1.2,0,1.2,0,0,0,0,0,0,0,1.2,0,1.2,0,0,1.2,0,1.2,0,0,0,0,0,0,0,20.5,2,1250,1915566.66666667,131808.333333333,1783758.33333333,0,0,0,0,0,131808.333333333,0,0,0,0,1783758.33333333,1275000,327000,0,0,0,0,0,0,363112.847222222,3512.5,366625.347222222,54000,2008333.33333333,0,2008333.33333333,5768637.5,1538300,47500,7354437.5,5920661.99678186,43384.3557638889,134812.851666667,178197.207430556,7992668.05787092,20562421.3365515,11726799.5138889,2186530.54076389,13913330.0546528,12569753.2786806,26483083.3333333,3004.16666666667,19.1666666666667,255,1396.58333333333,24033333.3333333,2449750,0,0,0,0,0,0,3.33333333333333,3.33333333333333,0,0,0,0,3734.16666666667,3734.16666666667,275,262.5,12.5,78.3333333333333,61.6666666666667,16.6666666666667,55,0,408.333333333333,0,0.833333333333333,0,4.16666666666667,0,0,0,45.8333333333333,0,12.5,102.5,34.1666666666667,0,0,79.1666666666667,0,0,105.833333333333,0,0,23.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11111111111111
3,0,0,0,0,0,158170,0,126000,0,0,966570,99,4,423960,6,1.32,1.32,0,0,0,1.32,1.32,0,0,0,0,0,0,0,0,1.32,1.32,0,0,0,1.32,1.32,0,0,0,0,0,0,0,0,4,2,484.848484848485,947530.303030303,119825.757575758,827704.545454545,0,0,0,0,0,119825.757575758,0,95454.5454545455,0,0,732250,144848.484848485,40454.5454545455,0,359015.151515151,0,0,0,18181.8181818182,87813.1313131313,13745.4545454545,101558.585858586,409090.909090909,5712878.78787879,0,5712878.78787879,9344331.06060606,0,0,9344331.06060606,2444639.7979798,88219.3303030303,134594.080909091,222813.411212121,15280023.259697,13737557.1717172,11788970.8585859,5935692.19909091,17724663.0576768,-1542466.0879798,16182196.969697,2093.93939393939,15.9090909090909,15.9090909090909,811.606060606061,16123333.3333333,58863.6363636364,0,0,0,0,0,0,3.03030303030303,3.03030303030303,0,284.848484848485,0,0,695.454545454545,980.30303030303,580.30303030303,325,255.30303030303,0,0,0,3.03030303030303,0,583.333333333333,0,4.54545454545454,0,3.78787878787879,0,10.6060606060606,0,18.9393939393939,0,154.545454545455,233.333333333333,48.4848484848485,0,0,21.2121212121212,0,46.2121212121212,4.54545454545454,21.2121212121212,0,5.3030303030303,0,0,0,3.78787878787879,3.03030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78787878787879,6.16666666666667
3,0,0,0,0,0,172400,0,78750,0,0,0,99,4,423960,6,1.26,0.42,0.84,0,0,0.84,0,0.84,0,0,0.42,0.42,0,0,0,1.07,0.42,0.65,0,0,0.65,0,0.65,0,0,0.42,0.42,0,0,0,2.5,2,984.11214953271,234719.626168224,161121.495327103,73598.1308411215,0,0,0,0,0,161121.495327103,0,73598.1308411215,0,0,0,685327.102803738,124299.065420561,0,0,0,0,0,0,614635.514018692,12293831.7757009,12908467.2897196,0,12971962.6168224,706542.056074766,13678504.6728972,3401690.65420561,0,0,3401690.65420561,15083315.1401869,639610.820186916,55130.8519626168,694741.672149533,17068394.9431776,6326965.23364486,17778463.7383178,14373246.3450467,32151710.0833645,-10741429.7095327,21410280.3738318,2092.52336448598,0,0,795.158878504673,21410280.3738318,0,0,0,0,0,0,0,31.7757009345794,31.7757009345794,0,439.252336448598,0,0,0,439.252336448598,180.373831775701,115.88785046729,64.4859813084112,0,0,0,22.4299065420561,0,202.803738317757,0,0,0,5.60747663551402,0,0,0,21.4953271028037,0,14.9532710280374,95.3271028037383,14.9532710280374,0,0,0,0,0,11.214953271028,0,0,1.86915887850467,0,0,0,0,27.1028037383178,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2803738317757,6.16666666666667
3,0,0,0,0,0,179250,242550,0,0,0,46860,38,3,389606,6,0.55,0,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0,0,25,2,454.545454545455,852109.090909091,325909.090909091,526200,0,0,0,0,0,325909.090909091,441000,0,0,0,85200,1038363.63636364,262181.818181818,0,0,0,0,0,0,2435540.90909091,51674.6411483254,2487215.55023923,0,314545.454545455,0,314545.454545455,8479327.27272727,0,0,8479327.27272727,5029476.09569378,126856.755904306,131836.574545455,258693.330449761,9052566.05772249,8506523.90430622,13508803.3684211,573238.784995215,14082042.1534163,-546042.153416269,13536000,225.454545454545,349.090909090909,1207.27272727273,1292.94545454545,3517090.90909091,10018909.0909091,0,0,0,0,0,0,298.181818181818,298.181818181818,2312.72727272727,0,0,0,154.545454545455,2467.27272727273,383.636363636364,285.454545454545,98.1818181818182,0,0,0,112.727272727273,0,496.363636363636,0,0,0,0,0,0,0,61.8181818181818,0,127.272727272727,20,67.2727272727273,0,0,0,0,80,63.6363636363636,0,0,50.9090909090909,0,0,0,12.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7272727272727,9.66666666666667
3,0,0,0,0,0,188920,0,0,0,0,0,37,4,415002,5,1.52,0.15,1.37,0,0,0.61,0,0.61,0,0,0.91,0.15,0.76,0,0,1.52,0.15,1.37,0,0,0.61,0,0.61,0,0,0.91,0.15,0.76,0,0,29,2,1519.73684210526,124289.473684211,124289.473684211,0,0,0,0,0,0,124289.473684211,0,0,0,0,0,605723.684210526,1102631.57894737,0,0,0,0,0,95921.0526315789,1646835.8004386,85375.3462603878,1732211.14669898,0,570394.736842105,939473.684210526,1509868.42105263,9598323.68421053,5081092.10526316,625000,15304415.7894737,10312680.4852797,237563.875010388,213688.971578947,451252.846589335,11028635.5080086,49086661.6199835,19380194.7256464,1961121.26764197,21341315.9932883,38058026.1119748,59399342.1052632,0,653.289473684211,8678.94736842105,8678.94736842105,0,59399342.1052632,0,0,0,0,0,0,3.28947368421053,3.28947368421053,0,0,0,0,0,0,501.973684210526,242.105263157895,259.868421052632,319.736842105263,178.947368421053,140.789473684211,89.4736842105263,0,911.184210526316,0,1.97368421052632,0,0,0,0,0,36.8421052631579,0,175.657894736842,426.973684210526,7.23684210526316,0,0,197.368421052632,0,1.31578947368421,11.1842105263158,0,0,52.6315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.25
3,0,0,0,0,0,211780,0,0,0,0,234320,99,3,423960,6,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,5.2,2,960,892200,423560,468640,0,0,0,0,0,423560,0,0,0,0,468640,624000,331000,0,0,0,0,0,327800,995433.333333333,737856,1733289.33333333,1512000,2968000,0,2968000,10003988,0,0,10003988,5844249.33333333,245646.218773333,151019.4512,396665.669973333,13368653.6699733,15633550.6666667,15848237.3333333,3364665.66997333,19212903.0033067,2264896.99669333,21477800,2074,0,62,850.12,20740000,737800,0,0,0,0,0,0,582,582,0,0,0,0,426,426,510,360,150,0,0,0,80,0,590,0,4,0,0,0,0,0,64,0,38,194,32,0,0,0,0,0,98,0,0,60,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6.84615384615385
3,0,0,0,0,0,212660,0,0,0,0,0,37,2,415002,6,0.39,0,0.39,0,0,0.39,0,0.39,0,0,0,0,0,0,0,0.39,0,0.39,0,0,0.39,0,0.39,0,0,0,0,0,0,0,28,2,897.435897435897,545282.051282051,545282.051282051,0,0,0,0,0,0,545282.051282051,0,0,0,0,0,1366666.66666667,1877435.8974359,0,0,0,0,0,564102.564102564,1709785.25641026,55091.0931174089,1764876.34952767,262393.162393162,2371794.87179487,0,2371794.87179487,24571771.7948718,853871.794871795,0,25425643.5897436,7649630.4862798,196009.209367971,369261.221538462,565270.430906433,27508837.0975731,18896010.5393612,32221402.2811516,2937065.3027013,35158467.5838529,-8612826.55821188,26545641.025641,0,143.589743589744,3969.23076923077,3969.23076923077,0,26545641.025641,0,0,0,0,0,0,17.9487179487179,17.9487179487179,0,0,0,0,0,0,1417.94871794872,969.230769230769,448.717948717949,51.2820512820513,33.3333333333333,17.9487179487179,94.8717948717949,0,1564.10256410256,0,12.8205128205128,0,5.12820512820513,0,0,0,215.384615384615,0,53.8461538461538,197.435897435897,0,0,0,584.615384615385,0,0,358.974358974359,0,0,133.333333333333,0,0,0,0,2.56410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4
3,0,0,0,0,0,274150,0,0,0,0,0,38,2,389606,6,0.3,0.3,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,16,2,1000,913833.333333333,913833.333333333,0,0,0,0,0,0,913833.333333333,0,0,0,0,0,2046666.66666667,330333.333333333,0,0,0,0,0,0,1944741.66666667,75789.4736842105,2020531.14035088,0,950000,0,950000,11546983.3333333,7156666.66666667,0,18703650,12857637.1403509,119662.868315789,272731.593333333,392394.461649123,12889377.7949825,7334696.19298246,24404620.4736842,1342394.46164912,25747014.9353333,-5554681.602,20192333.3333333,0,20,2136.66666666667,2136.66666666667,0,20192333.3333333,0,0,0,0,0,0,820,820,0,0,0,0,0,0,573.333333333333,370,203.333333333333,296.666666666667,296.666666666667,0,116.666666666667,230,1216.66666666667,0,0,0,0,0,0,0,100,0,0,920,16.6666666666667,0,0,0,0,0,120,0,0,46.6666666666667,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1
3,0,0,0,0,0,374320,0,0,0,0,0,33,3,434170,5,0.72,0.72,0,0,0,0.52,0.52,0,0,0,0.2,0.2,0,0,0,0.72,0.72,0,0,0,0.52,0.52,0,0,0,0.2,0.2,0,0,0,23.3333333333333,1,1104.16666666667,519888.888888889,519888.888888889,0,0,0,0,0,0,519888.888888889,0,0,0,0,0,2171805.55555556,313055.555555556,0,0,0,0,0,53611.1111111111,1923599.53703704,3138864.03508772,5062463.57212476,0,1070833.33333333,350000,1420833.33333333,14488556.9444444,0,0,14488556.9444444,8904994.68323587,515061.496637427,217581.783888889,732643.280526316,16292033.5583041,55094588.6500975,23043551.6276803,2153476.61385965,25197028.24154,38802555.0917934,63999583.3333333,3709.72222222222,8.33333333333333,636.111111111111,2045.80555555556,54532916.6666667,9466666.66666667,0,0,0,0,0,0,206.944444444444,206.944444444444,0,0,0,0,0,0,831.944444444444,562.5,269.444444444444,0,0,0,55.5555555555556,0,887.5,0,4.16666666666667,0,5.55555555555556,0,0,0,108.333333333333,0,109.722222222222,63.8888888888889,36.1111111111111,0,0,0,0,0,259.722222222222,0,0,222.222222222222,0,0,0,5.55555555555556,13.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3333333333333,13.6875
3,0,0,0,0,0,39550,0,0,113860,0,25480,33,1,434170,6,0.27,0,0.27,0,0,0.27,0,0.27,0,0,0,0,0,0,0,0.27,0,0.27,0,0,0.27,0,0.27,0,0,0,0,0,0,0,21,2,2222.22222222222,662555.555555556,146481.481481481,516074.074074074,0,0,0,0,0,146481.481481481,0,0,421703.703703704,0,94370.3703703704,764074.074074074,243333.333333333,0,0,0,0,0,0,664898.148148148,6000,670898.148148148,240000,1785185.18518519,0,1785185.18518519,5512925.92592593,0,0,5512925.92592593,3015031.11111111,142235.784444444,89067.8222222222,231303.606666667,7529414.71777778,-1992808.88888889,8527957.03703704,2016488.79185185,10544445.8288889,-9522223.60666667,1022222.22222222,0,170.37037037037,170.37037037037,170.37037037037,0,1022222.22222222,0,0,0,0,0,0,11.1111111111111,11.1111111111111,0,0,21303.7037037037,0,196.296296296296,21500,211.111111111111,196.296296296296,14.8148148148148,0,0,0,103.703703703704,0,314.814814814815,0,3.7037037037037,0,3.7037037037037,0,0,0,44.4444444444444,0,0,14.8148148148148,70.3703703703704,0,0,0,0,0,129.62962962963,0,0,48.1481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6666666666667
3,0,0,0,0,0,39550,232850,0,0,0,0,33,1,434170,6,0.23,0,0.23,0,0,0.23,0,0.23,0,0,0,0,0,0,0,0.23,0,0.23,0,0,0.23,0,0.23,0,0,0,0,0,0,0,15,2,434.782608695652,1184347.82608696,171956.52173913,1012391.30434783,0,0,0,0,0,171956.52173913,1012391.30434783,0,0,0,0,1066956.52173913,276521.739130435,0,0,0,0,0,0,253748.188405797,0,253748.188405797,0,2095652.17391304,0,2095652.17391304,6362052.17391304,151443.47826087,0,6513495.65217391,3367187.75362319,22934.6873188406,112112.389565217,135047.076884058,8592751.42471015,-786318.188405797,9729239.92753623,2230699.2507971,11959939.1783333,-9379069.61311594,2580869.56521739,0,152.173913043478,273.913043478261,273.913043478261,0,2580869.56521739,0,0,0,0,0,0,13.0434782608696,13.0434782608696,4426.08695652174,0,0,0,0,4426.08695652174,269.565217391304,78.2608695652174,191.304347826087,8.69565217391304,8.69565217391304,0,134.782608695652,0,413.04347826087,0,8.69565217391304,0,4.34782608695652,0,0,0,60.8695652173913,0,0,26.0869565217391,126.086956521739,0,0,30.4347826086957,0,0,69.5652173913043,0,0,86.9565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6666666666667
