"지역구분","업종구분","경영형태","경영주 성별","연령","종사 기간별","전겸업 여부","겸업 주 업종","산림소유 여부","산림 규모별","재배지 면적","소유지 면적","임차지 면적","지목구성_재배지_전체","지목구성_재배지_논","지목구성_재배지_밭","지목구성_재배지_임야","지목구성_재배지_기타","지목구성_소유지_전체","지목구성_소유지_논","지목구성_소유지_밭","지목구성_소유지_임야","지목구성_소유지_기타","지목구성_임차지_전체","지목구성_임차지_논","지목구성_임차지_밭","지목구성_임차지_임야","지목구성_임차지_기타","재배본수","평균수령","재배지 운영 관리방식","가구총수입","임업총수입","생산량","생산량_포전판매","생산량_없음","판매량_원물","판매량_원물_포전판매","판매량_원물_없음","판매량_가공","판매량_가공_포전판매","판매량_가공_없음","판매수입_원물","판매수입_원물_포전판매","판매수입_원물_없음","판매수입_가공","판매수입_가공_포전판매","판매수입_가공_없음","판매 가공품 종류_1","판매 가공품 종류_2","판매 가공품 종류_3","주요 판매처 비율_농협","주요 판매처 비율_산림조합","주요 판매처 비율_수집상","주요 판매처 비율_가공업체","주요 판매처 비율_도소매상","주요 판매처 비율_직거래","주요 판매처 비율_기타","직거래 판매방법_전화주문","직거래 판매방법_인터넷주문","직거래 판매방법_기타온라인판매","직거래 판매방법_직접판매","직거래 판매방법_임산물축제","직거래 판매방법_기타오프라인판매","판매대금 결제방법별 비중_1개월 이내 현금","판매대금 결제방법별 비중_후불","판매대금 결제방법별 비중_선도금","판매대금 결제방법별 비중_기타","재고량 여부","재고량","저장경험","판매 밤의 출하시기_수확 ~ 추석 이전","판매 밤의 출하시기_추석 연휴 판매","판매 밤의 출하시기_추석이후 ~ 12월 31일","판매 밤의 출하시기_1월 1일~설 이전","판매 밤의 출하시기_설 이후","저장 주된 목적","투입비용_비료비","투입비용_농약비","투입비용_기타재료비","투입비용_수도광열비","투입비용_임차료","투입비용_수선비","투입비용_인건비","투입비용_기타","투입비용_합계","보유 시설 및 장비_건조기","보유 시설 및 장비_경운기","보유 시설 및 장비_관리기","보유 시설 및 장비_관리사","보유 시설 및 장비_관정","보유 시설 및 장비_굴삭기","보유 시설 및 장비_기계톱","보유 시설 및 장비_다목적관리기","보유 시설 및 장비_동력분무기","보유 시설 및 장비_동력약제살포기","보유 시설 및 장비_드릴","보유 시설 및 장비_선별기","보유 시설 및 장비_소형 화물차","보유 시설 및 장비_소형트럭","보유 시설 및 장비_시설하우스","보유 시설 및 장비_예초기(예취기)","보유 시설 및 장비_온실","보유 시설 및 장비_운반차","보유 시설 및 장비_자동 접종기","보유 시설 및 장비_자동세척기","보유 시설 및 장비_(저온)저장고","보유 시설 및 장비_종균 성형기","보유 시설 및 장비_지게차","보유 시설 및 장비_창고","보유 시설 및 장비_천공기","보유 시설 및 장비_키크레인(트럭)","보유 시설 및 장비_탈피기","보유 시설 및 장비_트랙터","보유 시설 및 장비_항공방제","보유 시설 및 장비_수동분무기","보유 시설 및 장비_사륜오토바이","보유 시설 및 장비_SS기","보유 시설 및 장비_비료살포기","보유 시설 및 장비_기타","고용노동남성 총인원수","고용노동여성 총인원수","자가노동남성 총인원수","자가노동여성 총인원수","고용노동남성 1인당 평균작업일수","고용노동여성 1인당 평균작업일수","자가노동남성 1인당 평균작업일수","자가노동여성 1인당 평균작업일수","고용노동남성 1인당 하루평균노동비","고용노동여성 1인당 하루평균노동비","자가노동남성 1인당 하루평균노동비","자가노동여성 1인당 하루평균노동비","고용노동력 확보 지역","수확 방법","작업로 설치 여부","작업로 설치 면적","작업로 설치 예정 연도","작업로 설치 예정 면적","풀베기방식_기계사용","풀베기방식_제초제 사용","풀베기방식_초생재배","풀베기방식_기타","생산비 조달방법 비중_자부담","생산비 조달방법 비중_정부보조","생산비 조달방법 비중_정부융자","생산비 조달방법 비중_금융기관 융자","생산비 조달방법 비중_수집상 선도금","생산비 조달방법 비중_기타","재배업 전망","재배업 전망_좋아지는 이유","재배업 전망_나빠지는 이유","재배업 계획","재배업 계획_늘리려는 이유","재배업 계획_줄이거나 중단하려는 이유","3년간 생산량 변화","3년간 소득 변화","재배업 애로사항","수입 희망 금액","묘목 생산판매 여부","신규식재 의향","면적 증가 의향","선호 품종","작목 대체 계획","주 대체 작목","재배업 시 시급하게 필요한 사항","친환경 인증 등 공식인증 인증여부","받은 공식인증 종류_친환경인증","받은 공식인증 종류_지리적표시제","받은 공식인증 종류_GAP","받은 공식인증 종류_품질인증","받은 공식인증 종류_기타","사업정보 획득경로","임업경영체 등록여부","임업 관련 지원금 수혜 여부_산림경영기반조성(숲가꾸기 및 임도시설)","임업 관련 지원금 수혜 여부_산림경영기반조성(전문임업인기반조성)","임업 관련 지원금 수혜 여부_산양삼 생산","임업 관련 지원금 수혜 여부_귀산촌인 창업 및 주택구입 지원","임업 관련 지원금 수혜 여부_단기산림소득지원","임업 관련 지원금 수혜 여부_단기산림소득지원 관련 보조수반 융자사업","임업 관련 지원금 수혜 여부_조림목 묘목 생산","임업 관련 지원금 수혜 여부_목재이용활성화 지원","임업 관련 지원금 수혜 여부_임업인경영자금 지원","임업 관련 지원금 수혜 여부_임업인 재해복구 긴급지원","임업 관련 지원금 수혜 여부_산림소득 유통분야 공모사업","임업 관련 지원금 수혜 여부_임산물 수출지원","임업 관련 지원금 수혜 여부_임산물 판로지원 사업","임업 관련 지원금 수혜 여부_없음","산림청에 바라는 점","산림청에 바라는 점_1","가중치"
11,1,1,1,5,4,1,,2,,128700,0,128700,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,3900,30,1,16000,15000,44000,,,44000,,,0,,1,15000,,,0,,1,,,,0,0,0,0,100,0,0,,,,,,,100,0,0,0,2,,1,10,0,90,0,0,1,800,160,50,100,550,200,4000,0,5860,,,,,,,7,,,10,,12,13,,,16,,18,,20,21,,,24,,,27,,,,,,,,2,20,1,1,20,20,180,150,120,90,0,0,3,1,1,3000,,,1,2,,,70,30,0,0,0,0,3,,,3,,9997,2,1,1,15000,3,2,2,1,2,,8,2,,,,,,6,1,,,,,,,,,,10,,,,,536,1,12
11,1,2,1,2,1,2,1,1,4,79200,79200,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,2240,20,1,6000,4000,18000,,,18000,,,0,,1,4000,,,0,,1,,,,60,0,0,0,35,5,0,100,0,0,0,0,0,100,0,0,0,2,,1,0,0,100,0,0,2,560,130,50,70,0,50,900,0,1760,,,,4,,,7,,9,10,,12,13,,,16,,,,20,21,,23,24,,,27,28,,,,,,,2,3,2,1,20,20,45,45,90,90,0,0,2,1,1,3000,,,1,2,,,100,0,0,0,0,0,3,,,2,,,2,1,1,7000,3,2,2,1,2,,4,2,,,,,,6,1,,,,,,,,,,10,,,,,576,2,47.33333
11,1,2,1,4,1,2,1,2,,39600,0,39600,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,1400,23,1,8000,5000,11320,,,11320,,,0,,1,5000,,,0,,1,,,,0,0,70,0,0,30,0,5,0,0,95,0,0,100,0,0,0,2,,1,10,0,90,0,0,9997,250,50,60,150,200,60,680,0,1450,,,,,,,7,,9,,,12,13,,,16,,18,,,,,,24,,,27,,,,,,,,1,4,1,1,15,15,120,40,90,90,0,0,3,1,1,1500,,,1,,,,80,20,0,0,0,0,3,,,2,,,1,1,1,5000,3,2,2,2,2,,8,2,,,,,,6,1,,,,,,,,,,10,,,,,705,5,47.33333
11,1,2,1,4,2,2,1,2,,29700,0,29700,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,900,30,1,2500,800,3200,,,3200,,,0,,1,800,,,0,,1,,,,80,0,0,0,0,20,0,95,0,0,5,0,0,100,0,0,0,2,,1,0,0,100,0,0,1,160,30,20,20,90,5,0,0,325,,2,,4,,,7,,,10,,12,13,,,16,,,,,21,,,,,,27,,,,,,,,5,,1,1,1,,45,35,140,,0,0,1,1,1,1000,,,1,2,,,100,0,0,0,0,0,3,,,1,3,,2,2,2,2000,3,2,1,1,2,,7,2,,,,,,6,1,,,,,,,,,,,,,,9998,,,47.33333
11,1,2,1,4,3,2,1,1,3,29700,29700,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,1050,25,1,5000,2500,7200,,,7200,,,0,,1,2500,,,0,,1,,,,0,80,0,0,0,20,0,100,0,0,0,0,0,100,0,0,0,2,,1,3,0,97,0,0,2,150,80,50,20,0,10,50,0,360,,2,,,,,7,,9,,,12,,14,,16,,,,,21,,,24,,,27,,,,,,,9997,,5,2,1,,1,70,50,,90,0,0,9997,1,1,2000,,,,2,,,85,15,0,0,0,0,3,,,2,,,3,2,2,3000,3,2,2,2,2,,8,2,,,,,,6,1,,,,,,,,,,,,,,9998,550,1,47.33333
11,1,2,1,4,3,2,1,2,,99000,0,99000,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,3300,23,1,25820.729,18262,28000,,,28000,,,0,,1,13000,,,0,,1,,,,0,0,0,0,100,0,0,,,,,,,100,0,0,0,2,,1,10,0,90,0,0,2,650,200,600,100,450,100,1200,0,3300,,,,4,,,7,,9,10,,12,13,,,16,,18,,20,21,,,24,,,27,,,,,,,,5,5,1,1,13,13,25,25,90,90,0,0,2,1,1,4000,,,,2,,,100,0,0,0,0,0,3,,,2,,,2,1,1,13000,1,2,2,1,2,,9998,2,,,,,,6,1,,,,,,,,,,10,,,,,,,47.33333
11,1,2,1,4,3,2,1,2,,99000,0,99000,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,3500,20,1,12000,10000,28000,,,28000,,,0,,1,10000,,,0,,1,,,,30,0,60,0,0,10,0,80,0,0,20,0,0,100,0,0,0,2,,1,20,0,80,0,0,2,720,200,120,120,400,1500,1800,0,4860,,,,,,,7,,,10,,12,,14,,16,,,,,21,,,24,,,27,28,,,,42,,,2,9,1,1,15,15,70,40,130,90,0,0,2,1,1,4000,,,1,2,,,80,20,0,0,0,0,2,3,,1,3,,1,1,1,12000,3,1,1,2,2,,8,2,,,,,,2,1,,,,,,,,,,10,,,,,501,1,47.33333
11,1,2,1,5,2,2,1,2,,24750,0,24750,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,1100,15,1,5500,3000,7200,,,5600,,,0,,1,3000,,,0,,1,,,,10,10,0,0,0,80,0,100,0,0,0,0,0,100,0,0,0,2,,1,0,20,60,15,5,2,210,100,80,20,100,10,700,0,1220,,,,,,,7,,9,,,12,13,,,16,,18,,,21,,,24,,,27,,,,,,,9997,,3,1,1,,25,60,40,,90,0,0,1,1,1,2000,,,1,2,,,85,15,0,0,0,0,2,4,,3,,3,2,2,1,3000,3,2,2,2,2,,11,2,,,,,,1,1,,,,,,,,,,10,,,,,542,1,47.33333
11,1,2,1,5,3,2,1,1,4,118800,118800,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,4400,21,1,18000,15000,29500,,,26550,,,2950,,,13000,,,2000,,,1,,,0,0,5,0,0,95,0,30,0,0,70,0,0,100,0,0,0,1,13000,1,10,0,40,20,30,2,700,100,1000,700,0,500,3500,500,7000,,,,4,,,7,,9,,,12,13,,,16,,18,,20,21,,,24,,,27,,,,,,,,4,5,1,1,35,35,240,200,120,90,0,0,9997,1,1,7000,,,1,,,,90,10,0,0,0,0,4,,2,2,,,1,2,1,18000,3,2,2,2,2,,4,1,1,2,3,4,,1,1,,,,,,,,,,10,,,,,,,47.33333
11,1,2,2,3,2,2,1,1,1,14850,14850,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,400,13,1,5211.2529,3463.15,4800,,,4500,,,0,,1,1400,,,0,,1,,,,0,0,0,0,95,5,0,100,0,0,0,0,0,100,0,0,0,2,,1,5,0,95,0,0,1,70,60,10,30,0,10,700,0,880,,,,,,,7,,,10,,12,,14,,16,,,,,21,,,24,,,27,,,,,,,,2,2,,1,15,13,,40,130,90,0,0,1,1,1,500,,,1,2,,,90,10,0,0,0,0,3,,,2,,,2,1,1,2000,3,1,2,2,2,,7,2,,,,,,6,1,,,,,,,,,,,,,,9998,542,1,47.33333
11,1,2,2,4,4,2,1,1,2,29700,29700,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,1000,30,1,2500,2000,5200,,,5200,,,0,,1,2000,,,0,,1,,,,0,0,0,0,0,100,0,90,0,0,10,0,0,100,0,0,0,1,1500,1,0,0,70,10,20,2,255,65,50,30,0,0,900,0,1300,,,,,,,7,,,,,12,13,,,16,,,,,21,,,,,,,,,,,,,,2,4,,1,17,17,,120,110,90,0,0,1,1,1,1000,,,1,,,,100,0,0,0,0,0,4,,1,2,,,3,2,1,2500,3,2,2,2,2,,7,2,,,,,,6,1,,,,,,,,,,10,,,,,576,2,47.33333
11,1,2,2,5,3,2,1,1,1,9900,9900,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,300,20,1,1500,700,1470,,,1470,,,0,,1,700,,,0,,1,,,,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,0,0,2,,1,0,0,100,0,0,2,90,10,10,10,0,0,60,0,180,,,,,,,7,,,10,,12,,,,16,,,,,21,,,24,,,,,,,,,,,1,1,,1,1,5,,35,100,90,0,0,1,1,1,500,,,,2,,,85,15,0,0,0,0,3,,,2,,,2,2,2,1000,3,1,2,1,2,,1,2,,,,,,6,1,,,,,,,,,,10,,,,,501,1,47.33333
11,1,3,1,2,2,3,1,2,,3300,0,3300,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,1000,15,1,4000,1500,4000,,,4000,,,0,,1,1500,,,0,,1,,,,85,0,0,0,0,15,0,100,0,0,0,0,0,100,0,0,0,2,,1,35,0,65,0,0,1,190,30,10,30,100,0,160,0,520,,,,,,,7,,,,,12,,14,,16,,18,,,21,,,24,,,27,,,,,42,,,,2,1,1,,8,70,50,,90,0,0,1,1,1,2000,,,1,2,,,75,25,0,0,0,0,4,,2,2,,,2,2,1,3000,3,2,2,1,2,,8,2,,,,,,6,1,,,,,,,,,,10,,,,,550,1,47.33333
11,1,3,1,4,4,3,1,2,,59400,0,59400,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,1800,30,1,7000,3500,12400,,,12400,,,0,,1,3500,,,0,,1,,,,100,0,0,0,0,0,0,,,,,,,100,0,0,0,2,,1,20,0,80,0,0,1,350,40,10,100,80,20,800,0,1400,,,,,,,7,,9,10,,12,,14,,16,,,,,21,,,24,,,27,,,,,,,,,6,1,1,,15,70,20,,90,0,0,2,1,1,3000,,,1,2,,,85,15,0,0,0,0,4,,2,3,,3,3,2,1,4000,3,2,2,1,2,,4,2,,,,,,6,1,,,,,,,,,,10,,,,,,,47.33333
11,1,3,1,4,5,3,1,2,,49500,0,49500,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,1900,15,1,10000,4000,15000,,,15000,,,0,,1,4000,,,0,,1,,,,35,35,0,0,0,30,0,95,0,0,5,0,0,100,0,0,0,2,,1,7,3,90,0,0,1,320,40,60,70,250,40,950,0,1730,,2,,4,,,7,,,10,,12,13,,,16,,,,,21,,,24,,,27,,,,,42,,,1,4,1,1,15,20,50,30,150,90,0,0,2,1,1,4000,,,1,2,,,90,10,0,0,0,0,3,,,2,,,1,1,1,5000,2,1,2,2,2,,8,2,,,,,,1,1,,,,,,,,,,10,,,,,531,1,47.33333
11,1,3,1,4,5,3,5,1,2,6600,6600,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,100,30,1,1500,1000,1500,,,500,,,0,,1,60,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,2,,1,20,30,50,0,0,1,40,20,10,10,0,5,0,0,85,,2,,,5,,,,9,,,,,14,,16,,,,,21,,,,,,,,,,,,,,,,1,,,,30,,,,0,0,,9997,1,200,,,1,2,,,80,20,0,0,0,0,4,,5,2,,,3,3,2,500,2,1,2,2,2,,8,2,,,,,,10,1,,,,,,,,,,,,,,9998,,,47.33333
